id seccion,nombre seccion,id circuito,nombre circuito,escuela,mesas,desde,hasta,electores,31
6,GRAL SAN MARTIN,89,VILLA MARIA,INSTITUTO DEL ROSARIO - BV.ALVEAR 68,30,4426,4455,10410,
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC SAN FRANCISCO DE ASIS - GUARDADO 184,30,209,238,10351,
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.N.V.MERCANTE - SOBRAL 378,29,4496,4524,10063,
3,COLON,41,VILLA ALLENDE,INST GRAL S.MARTIN/17 DE AGOST - 25 DE MAYO ESQ. TABLADA,27,3991,4017,9350,
13,RIO CUARTO,188,RIO CUARTO,ESC.NORMAL COMERCIAL - BAIGORRIA 463,27,6232,6258,9346,
6,GRAL SAN MARTIN,89,VILLA MARIA,INST.LA SANTISIMA TRINIDAD - SARSFIELD 1072,26,4456,4481,9022,
1,CAPITAL,10G,OBSERVATORIO,E.N.E.T. N° 4 COPERNICO - MARIANO MORENO 551,26,1408,1433,9011,
1,CAPITAL,13G,PARQUE LICEO,ESC ESPIRITU SANTO - ISAAC 4847,25,2658,2682,8625,
13,RIO CUARTO,188,RIO CUARTO,ESC.NORM.NAC.MIXTA - CONSTITUCION 1040,24,6079,6102,8328,
12,PUNILLA,156,VILLA CARLOS PAZ,INST ALFONSINA STORNI(EX IESS) - SOLIS 283,21,5477,5497,7266,
26,UNION,375,BELL VILLE,ESC.NORMAL F.ALCORTA - 25 DE MAYO 135,21,8387,8407,7245,
1,CAPITAL,4,NUEVA CORDOBA,COL NACIONAL DEAN FUNES - PERU 10,20,126,145,6900,
1,CAPITAL,7B,ALTA CORDOBA,ESC MANUEL LUCERO - MANUEL LUCERO 560,19,691,709,6555,
1,CAPITAL,4B,VILLA REVOL,INST EDUC NTRA SEÑORA - INCA MANCO 3450,19,246,264,6536,
1,CAPITAL,10,BELLA VISTA,INST EDUCACION CORDOBA - FERREYRA Y FRIULI,19,1211,1229,6517,
20,SAN JUSTO,298,LAS VARILLAS,ESC NORM SUP D VELEZ SARSFIELD - ESCRIBANO LUIS MORELLI 188,19,7358,7376,6479,
1,CAPITAL,10G,OBSERVATORIO,COL   NUESTRA SEÑORA DE NIEVA - AYACUCHO 442,18,1443,1460,6228,
13,RIO CUARTO,165,BANDA NORTE,MERC DEL NIÑO JESUS/S FCO ASIS - VICTOR HUGO 885,18,5781,5798,6228,
13,RIO CUARTO,186,PUEBLO ALBERDI,INST LANTERIANO LA MERCED - BELISARIO ROLDAN 275,18,6049,6066,6204,
1,CAPITAL,4,NUEVA CORDOBA,FAC DE CIENCIAS ECONOMICAS - AV VALPARAISO CDAD UNIVERSITARIA,18,169,186,6194,
1,CAPITAL,11D,LOS NARANJOS,INST JESUS MARIA - VIEYTES 1607,18,1817,1834,6162,
1,CAPITAL,1,SECCIONAL PRIMERA,COL NAC DE MONSERRAT - OBISPO TREJO 294,18,20,37,6158,
3,COLON,28,CALERA,INSTITUTO D.F.SARMIENTO - CALERA,18,3444,3461,6156,
1,CAPITAL,2,SECCIONAL SEGUNDA,ESC JUAN BAUTISTA ALBERDI - GRAL PAZ 486,18,48,65,6145,
12,PUNILLA,156,VILLA CARLOS PAZ,ESC CARLOS NICANDRO PAZ - SAN MARTIN 255,17,5438,5454,5899,
13,RIO CUARTO,188,RIO CUARTO,COL NTRA SRA DEL CARMEN - BAIGORRIA 373,17,6147,6163,5899,
20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,ESC JOSE BERRNARDO ITURRASPE - CABRERA 1736,17,7586,7602,5899,
1,CAPITAL,11J,SANTA ANA,ESC ROMA - ECHEVERRIA 370,17,2034,2050,5882,
12,PUNILLA,156,VILLA CARLOS PAZ,INST BILINGUE DANTE ALIGHIERI - ALFONSINA STORNI Y LOS ALERCES,17,5557,5573,5882,
23,TERCERO ARRIBA,348,RIO TERCERO,INST ALEXIS CARREL - GRAL PAZ Y ESPAÑA 390,17,8156,8172,5882,
1,CAPITAL,12B,COLON,INST NTRA SRA DEL SGDO CORAZON - REVOLUCION DE MAYO 1476,17,2197,2213,5822,
1,CAPITAL,5,ALTAMIRA,ESC ESPAÑA - M BRAVO Y ENTRE RIOS,17,322,338,5780,
20,SAN JUSTO,304,MORTEROS,ESCUELA CRISTO REY - BV 9 DE JULIO 1008,17,7448,7464,5780,
1,CAPITAL,9F,SAN MARTIN,INST INMACULADA CONCEPCION - CASTRO BARROS 1316,17,1148,1164,5777,
1,CAPITAL,10B,CIUDADELA,ESC PCIA DE CATAMARCA - AV VELEZ SARSFIELD 3200,17,1265,1281,5761,
12,PUNILLA,156,VILLA CARLOS PAZ,INST R ESCALADA DE SAN MARTIN - ESTRADA Y ANTARTIDA,16,5513,5528,5536,
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,ESCUELA N AVELLANEDA - RIVADAVIA 648,16,7561,7576,5536,
1,CAPITAL,11J,SANTA ANA,ESC LUTERANO CONCORDIA - SANTA ANA 2011,16,2051,2066,5535,
3,COLON,35,MALVINAS ARGENTINAS,I.P.E.M. N° 24 - JUJUY ESQ. SARMIENTO S/N MALVINAS AR,16,3754,3769,5526,
4,CRUZ DEL EJE,44,CRUZ DEL EJE,IPEM N° 253 - ALEM ESQ DOMINGO MATEU,16,4078,4093,5504,
26,UNION,375,BELL VILLE,ESC PONCIANO VIVANCO - AMEGHINO 155,16,8445,8460,5504,
4,CRUZ DEL EJE,44,CRUZ DEL EJE,ESCUELA NORMAL - SARMIENTO 1155,16,4126,4141,5488,
9,MARCOS JUAREZ,133,MARCOS JUAREZ,ESC NORMAL SUP DR M BELGRANO - R SAENZ PEÑA Y S DEL ESTERO,16,5086,5101,5488,
19,SAN JAVIER,268,DOLORES,ESC.NORMAL SARSFIELD - AV.S.MARTIN 271,16,7018,7033,5488,
1,CAPITAL,11C,LAS PALMAS,ESC GRAL SAN MARTIN - AV COLON 4751,16,1775,1790,5435,
1,CAPITAL,10C,COMERCIAL,ESC ALEJANDRO CARBO - ICHO CRUZ S/N°,16,1301,1316,5376,
1,CAPITAL,7E,MARQUES DE SOBREMONTE,ESC HONORATO LACONI - T DE IROBI,15,787,801,5205,
1,CAPITAL,12G,ITUZAINGO,ESC EJERCITO ARGENTINO - STEPHENSON Y FULTON,15,2424,2438,5205,
1,CAPITAL,13J,VILLA AZALAIS,ESC VICENTE F LOPEZ - TISSERA 1551,15,2825,2839,5205,
3,COLON,28A,CALERA CENTRAL,ESC.TTE. J.R. IBARZABAL - CALERA CENTRAL,15,3486,3500,5205,
