0002;JUSTICIALISTA                                     ;JUSTICIALISTA                                                                                       ;
0006;INTRANSIGENTE                                     ;INTRANSIGENTE                                                                                       ;
0008;PARTIDO FEDERAL                                   ;PARTIDO FEDERAL                                                                                     ;
0022;HUMANISTA                                         ;HUMANISTA                                                                                           ;
0023;UNION POPULAR                                     ;UNION POPULAR                                                                                       ;
0033;NACIONALISTA CONSTITUCIONAL -  UNIR               ;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;
0038;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES         ;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;
0040;MOVIMIENTO LIBRES DEL SUR                         ;MOVIMIENTO LIBRES DEL SUR                                                                           ;
0047;COALICION CIVICA - ARI                            ;COALICION CIVICA - ARI                                                                              ;
0050;SOCIALISTA                                        ;SOCIALISTA                                                                                          ;
0061;IZQUIERDA POR UNA OPCION SOCIALISTA               ;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;
0070;DE TRABAJADORES POR EL SOCIALISMO                 ;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;
0071;DEL OBRERO                                        ;DEL OBRERO                                                                                          ;
0072;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR       ;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;
0074;DEL TRABAJO Y DEL PUEBLO                          ;DEL TRABAJO Y DEL PUEBLO                                                                            ;
0082;COMPROMISO FEDERAL                                ;COMPROMISO FEDERAL                                                                                  ;
0083;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SU;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;
0110;DEFENSA COMUNAL DE E.DE LA CRUZ                   ;DEFENSA COMUNAL DE E.DE LA CRUZ                                                                     ;
0151;MOVIMIENTO POPULAR NEUQUINO                       ;MOVIMIENTO POPULAR NEUQUINO                                                                         ;
0153;SOCIALISTA AUTENTICO DEL CHUBUT                   ;SOCIALISTA AUTENTICO DEL CHUBUT                                                                     ;
0159;MOVIMIENTO NORTE GRANDE                           ;MOVIMIENTO NORTE GRANDE                                                                             ;
0165;NUEVO OCTUBRE                                     ;NUEVO OCTUBRE                                                                                       ;
0167;FEDERAL FUEGUINO                                  ;FEDERAL FUEGUINO                                                                                    ;
0172;NUEVA DIRIGENCIA                                  ;NUEVA DIRIGENCIA                                                                                    ;
0174;POPULAR                                           ;POPULAR                                                                                             ;
0176;FRENTE RENOVADOR AUTENTICO                        ;FRENTE RENOVADOR AUTENTICO                                                                          ;
0180;FUERZA REPUBLICANA                                ;FUERZA REPUBLICANA                                                                                  ;
0182;ADN - ACCION POR UNA DEMOCRACIA NUEVA             ;ADN - ACCION POR UNA DEMOCRACIA NUEVA                                                               ;
0184;AGRARIO Y SOCIAL                                  ;AGRARIO Y SOCIAL                                                                                    ;
0186;NUEVA IZQUIERDA                                   ;NUEVA IZQUIERDA                                                                                     ;
0187;AUTODETERMINACION Y LIBERTAD                      ;AUTODETERMINACION Y LIBERTAD                                                                        ;
0188;UNITE POR LA LIBERTAD Y LA DIGNIDAD               ;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;
0190;DE LOS TRABAJADORES SOCIALISTAS                   ;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;
0194;OBRERO                                            ;OBRERO                                                                                              ;
0201;PRIMERO LA GENTE                                  ;PRIMERO LA GENTE                                                                                    ;
0202;CIUDAD FUTURA                                     ;CIUDAD FUTURA                                                                                       ;
0203;SALTA SOMOS TODOS                                 ;SALTA SOMOS TODOS                                                                                   ;
0207;INICIATIVA POR LA UNION                           ;INICIATIVA POR LA UNION                                                                             ;
0210;MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESIO;MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL                                          ;
0212;PRINCIPIOS Y CONVICCION                           ;PRINCIPIOS Y CONVICCION                                                                             ;
0215;RENACER POLITICO Y SOCIAL                         ;RENACER POLITICO Y SOCIAL                                                                           ;
0217;ENCUENTRO VECINAL CORDOBA                         ;ENCUENTRO VECINAL CORDOBA                                                                           ;
0228;PARTIDO PRIMERO JUJUY                             ;PARTIDO PRIMERO JUJUY                                                                               ;
0251;MOVIMIENTO COMUNITARIO PLURICULTURAL              ;MOVIMIENTO COMUNITARIO PLURICULTURAL                                                                ;
0298;TODOS POR BUENOS AIRES                            ;TODOS POR BUENOS AIRES                                                                              ;
0301;PATRIA GRANDE                                     ;PATRIA GRANDE                                                                                       ;
0318;MOVIMIENTO PARA LA VICTORIA                       ;MOVIMIENTO PARA LA VICTORIA                                                                         ;
0319;UNION VECINAL DE GUAMINI                          ;UNION VECINAL DE GUAMINI                                                                            ;
