Nombre Seccion,Nombre Circuito,Electores 2007,Electores 2011,Electores 2013,Electores 2015,Electores 2017,Seccion,Circuito,LONGITUD,LATITUD
CALAMUCHITA,AMBOY,271,254,253,240,253,2,15,-64.57531753,-32.17641448
CALAMUCHITA,CALMAYO,106,104,104,126,132,2,25A,-64.46414885,-32.02474113
CALAMUCHITA,EMBALSE,"6,044","6,336","6,604","7,104","7,463",2,17,-64.40060657,-32.20750931
CALAMUCHITA,LA CRUZ,"1,451","1,444","1,449","1,536","1,579",2,18,-64.48363250,-32.30321892
CALAMUCHITA,LA CUMBRECITA,411,465,641,762,834,2,328A,-64.77540536,-31.89683383
CALAMUCHITA,LAS BAJADAS,338,303,286,269,278,2,21,-64.33130290,-32.09672546
CALAMUCHITA,LOS CONDORES,"2,563","2,696","2,722","2,833","2,945",2,19,-64.27859118,-32.32036821
CALAMUCHITA,LOS MOLINOS,255,266,288,301,309,2,25B,-64.37424250,-31.86070262
CALAMUCHITA,LOS REARTES,710,942,"1,031","1,328","1,513",2,20,-64.57394851,-31.90894859
CALAMUCHITA,LUTTI,189,187,181,157,157,2,18A,-64.74758983,-32.31886978
CALAMUCHITA,RIO DE LOS SAUCES,"1,090","1,061","1,062","1,109","1,142",2,22,-64.58770672,-32.52842019
CALAMUCHITA,SAN AGUSTIN,"2,729","2,794","2,902","3,066","3,165",2,25,-64.37372796,-31.97667863
CALAMUCHITA,SAN IGNACIO,137,126,127,130,153,2,26B,-64.51533303,-32.16601069
CALAMUCHITA,SANTA ROSA,"8,238","9,317","10,165","11,640","12,509",2,26,-64.53761955,-32.07105590
CALAMUCHITA,SEGUNDA USINA,147,116,119,131,167,2,26A,-64.37840477,-32.16604162
CALAMUCHITA,VI.CIUD.PQUE.LOS REARTES,437,606,653,"1,095","1,368",2,20B,-64.54539858,-31.90871557
CALAMUCHITA,VILLA AMANCAY,359,420,416,505,567,2,15A,-64.56855223,-32.18747489
